match_id,team_name,player_name,minute,second,period,location_x,location_y,play_pattern_name,shot_statsbomb_xg,shot_outcome_name,shot_type_name,shot_technique_name,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_aerial_won,under_pressure
3942226,Germany,Florian Wirtz,88,21,2,111.8,45.5,From Throw In,0.119556814,Goal,Open Play,Half Volley,Right Foot,True,,,,
3942226,Germany,Thomas Müller,93,48,2,113.2,43.6,From Free Kick,0.23735376,Off T,Open Play,Volley,Right Foot,True,,,,True
3942226,Spain,Ferrán Torres García,90,24,3,106.6,43.2,From Kick Off,0.051860645,Wayward,Open Play,Normal,Head,,,,True,True
3942226,Spain,Mikel Oyarzabal Ugarte,94,31,3,98.2,43.0,From Counter,0.026732832,Blocked,Open Play,Normal,Left Foot,,,,,True
3942226,Spain,Daniel Olmo Carvajal,96,8,3,103.5,24.3,From Free Kick,0.018918002,Blocked,Open Play,Normal,Right Foot,,,,,
3942226,Germany,Robert Andrich,100,26,3,100.7,50.7,From Free Kick,0.0269288,Off T,Open Play,Volley,Right Foot,True,,,,
3942226,Spain,Mikel Oyarzabal Ugarte,103,7,3,96.8,54.8,From Throw In,0.022105819,Off T,Open Play,Normal,Left Foot,,,,,
3942226,Germany,Florian Wirtz,105,3,3,102.4,36.0,Regular Play,0.1075199,Off T,Open Play,Normal,Left Foot,True,,,,
3942226,Germany,Jamal Musiala,105,34,4,100.3,44.6,Regular Play,0.0490711,Blocked,Open Play,Normal,Right Foot,True,,,,
3942226,Germany,Niclas Füllkrug,108,4,4,104.6,29.1,From Counter,0.045802347,Off T,Open Play,Normal,Left Foot,,,,,
3942226,Spain,Mikel Oyarzabal Ugarte,111,50,4,97.5,44.3,Regular Play,0.04228213,Off T,Open Play,Normal,Left Foot,,,,,True
3942226,Germany,Niclas Füllkrug,116,19,4,108.4,43.4,Regular Play,0.052276906,Saved,Open Play,Normal,Head,,,,True,True
3942226,Spain,Mikel Merino Zazón,118,53,4,112.6,39.2,From Throw In,0.20066643,Goal,Open Play,Normal,Head,,,,,
3942226,Germany,Joshua Kimmich,121,38,4,98.8,45.3,From Throw In,0.044950247,Blocked,Open Play,Normal,Right Foot,True,,,,
3942226,Spain,Ferrán Torres García,121,55,4,111.5,50.9,From Counter,0.29318613,Wayward,Open Play,Normal,Right Foot,,True,,,
3942226,Germany,Niclas Füllkrug,122,55,4,110.1,42.4,From Keeper,0.08594657,Off T,Open Play,Normal,Head,,,,,
3938645,Belgium,Romelu Lukaku Menama,6,28,1,110.8,30.7,Regular Play,0.27452216,Saved,Open Play,Normal,Left Foot,True,,,,
3938645,Ukraine,Roman Yaremchuk,19,50,1,91.1,43.1,Regular Play,0.030924592,Saved,Open Play,Normal,Right Foot,,,,,
