id,match_id,team_name,player_name,minute,second,period,location_x,location_y,play_pattern_name,shot_statsbomb_xg,shot_outcome_name,shot_type_name,shot_technique_name,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_aerial_won,under_pressure,defenders_in_cone,nearest_opponent_distance,opponents_within_5m,keeper_distance_to_shot,keeper_distance_to_goal_line,has_360
5dc7bbc0-2045-42d6-9a95-2b6f14a6b643,3942227,England,Kobbie Mainoo,15,18,1,97.0,40.0,Regular Play,0.041179437,Blocked,Open Play,Normal,Right Foot,True,,,,,2.0,3.556787003327995,1.0,20.087962119636934,2.9354567017751094,1
5c8d4f24-e19a-4565-a1e7-60553c011407,3942227,England,Harry Kane,21,4,1,107.6,34.7,From Corner,0.024830516,Wayward,Open Play,Normal,Head,,,,,,0.0,1.7312662883447787,3.0,12.715477535651418,2.3377431220175,1
a5b16bd8-68a9-48cb-bf32-c573bc06c9ad,3942227,Switzerland,Breel-Donald Embolo,24,8,1,103.5,35.4,From Counter,0.050617944,Blocked,Open Play,Normal,Left Foot,,,,,,0.0,1.5618397215116435,2.0,13.079513987489657,3.5570047056176293,1
f63d0bdc-7b03-4aab-b7e9-445459d29c8d,3942227,England,Bukayo Saka,42,19,1,94.4,53.3,Regular Play,0.022693586,Blocked,Open Play,Normal,Left Foot,,,,,True,0.0,0.8059930846150627,2.0,25.09941201251053,3.297347577153758,1
1857fdfc-26ba-408c-81c8-4202a8f49eb8,3942227,England,Kobbie Mainoo,44,7,1,113.2,49.6,From Throw In,0.105490096,Blocked,Open Play,Normal,Right Foot,True,,,,,0.0,0.9042453482570714,3.0,6.891014877329238,1.6721387379763968,1
91fffc20-f841-4a96-9206-1368b593625b,3942227,England,Bukayo Saka,46,33,2,111.9,52.7,Regular Play,0.043717798,Blocked,Open Play,Normal,Left Foot,,,,,,1.0,1.0995524635249585,3.0,11.840111535202997,1.6158964892605923,1
8a47e296-91b5-4dae-b91a-bff7c24c0001,3942227,Switzerland,Breel-Donald Embolo,50,42,2,112.9,30.4,From Free Kick,0.052396607,Saved,Open Play,Normal,Right Foot,,,,,,0.0,1.1310704177365314,2.0,9.610429246461907,3.168260294515889,1
30a91b99-fca1-4233-9fa2-9ebd40f95f71,3942227,Switzerland,Breel-Donald Embolo,56,3,2,113.4,43.5,Regular Play,0.113653235,Blocked,Open Play,Normal,Head,,,,True,True,1.0,1.477220990129819,2.0,5.850669748830579,1.2429129077903696,1
ebf8ac14-d3f2-4620-a30b-6efe03098379,3942227,Switzerland,Michel Aebischer,65,46,2,103.5,36.6,From Goal Kick,0.054864526,Off T,Open Play,Volley,Right Foot,True,,,,,1.0,3.8230012560358406,1.0,17.173874380138844,-0.3387528879703723,1
3cc0520d-338c-48b1-8e46-237e81965d70,3942227,Switzerland,Breel-Donald Embolo,74,14,2,116.9,38.5,From Free Kick,0.673555,Goal,Open Play,Volley,Right Foot,True,,True,,,0.0,0.8040162574444033,1.0,4.520398645226393,0.9446263798011074,1
f49ffee0-1a8a-4d16-b892-78c20e740cf1,3942227,England,Bukayo Saka,79,46,2,100.3,56.6,From Throw In,0.027096223,Goal,Open Play,Normal,Left Foot,,,,,,1.0,2.0463729210346346,1.0,23.44465378471247,2.1969787269401024,1
bb2cc906-2d2c-47a4-8106-c11e66f4c936,3942227,England,Harry Kane,82,43,2,107.6,40.4,From Throw In,0.043730237,Blocked,Open Play,Half Volley,Right Foot,,,,,,1.0,1.5132920146791262,2.0,11.215002073342308,1.1864392803258283,1
ec8a20e8-dead-4b00-adec-696f75161dd5,3942227,England,Eberechi Eze,87,54,2,107.6,21.5,From Throw In,0.012332749,Off T,Open Play,Normal,Right Foot,,,,,,0.0,5.638633663378056,0.0,17.55452132143706,2.6030696787382226,1
68dda545-c50d-4c6f-a3c8-2414305dd0cb,3942227,Switzerland,Dan Ndoye,89,35,2,102.2,22.4,From Counter,0.02836855,Off T,Open Play,Normal,Right Foot,,,,,,0.0,1.0319366176788256,1.0,23.6603483144887,1.7259165919384998,1
3bfdcf00-a663-4a29-8b7a-61e7e5b7b545,3942227,Switzerland,Steven Zuber,92,5,2,110.9,28.0,From Throw In,0.049106847,Off T,Open Play,Half Volley,Right Foot,,,,,,1.0,2.082806686762403,2.0,12.050483213192365,2.1707064369578575,1
205c8e05-3e2d-4774-87c7-8c801dab8fa7,3942227,England,Declan Rice,94,28,3,89.6,32.5,Regular Play,0.017482303,Saved,Open Play,Normal,Right Foot,,,,,,3.0,4.964445231696003,1.0,29.380026564202463,1.9956455820455403,1
cb60e195-2f36-4f9d-8d12-12f3032379cc,3942227,England,Phil Foden,100,49,3,90.5,44.9,From Free Kick,0.02448303,Blocked,Open Play,Normal,Left Foot,,,,,,1.0,3.5295474158396134,1.0,28.11690194257826,1.7852292141501636,1
f398ea83-2bed-4dca-b7b0-a441de62658c,3942227,England,Jude Bellingham,101,4,3,103.5,46.6,From Free Kick,0.06517577,Blocked,Open Play,Normal,Right Foot,,,,,,2.0,1.0426247395428254,3.0,15.398664833218438,1.9780947605316186,1
8e2e735f-26ce-4a75-86f7-7dab6858b59f,3942227,England,Jude Bellingham,101,6,3,103.8,44.8,From Free Kick,0.06901925,Saved,Open Play,Normal,Left Foot,True,,,,True,1.0,1.3991205270955858,4.0,13.840531936309969,2.635043316345829,1
96e6f91a-22e3-41d9-9b44-1f6b190c4b62,3942227,Switzerland,Fabian Lukas Schär,112,53,4,106.2,58.7,Regular Play,0.012323262,Off T,Open Play,Half Volley,Right Foot,True,,,,,0.0,7.957509346306041,0.0,19.535767716469685,2.369912268875453,1
cc7696c3-c5e2-4524-a065-7dd1accebed4,3942227,Switzerland,Xherdan Shaqiri,116,40,4,119.3,79.1,From Corner,0.00018,Post,Corner,Normal,Left Foot,,True,,,,0.0,34.834052798816785,0.0,37.96147099872494,5.4448289723849825,1
38915bff-1be9-422a-8369-9597b3a3f217,3942227,Switzerland,Mohamed Zeki Amdouni,118,39,4,101.7,23.7,From Free Kick,0.039720625,Saved,Open Play,Normal,Left Foot,,,,,,0.0,2.717316433112505,1.0,20.28937122002722,3.440267041640112,1
8538a591-bcfa-48fd-b043-fbccb1bc9dd8,3942227,Switzerland,Silvan Widmer,118,51,4,111.7,46.0,From Free Kick,0.11769032,Off T,Open Play,Volley,Right Foot,True,,,,True,0.0,0.5384188984724537,2.0,8.71794935333088,0.8955731001341434,1
